"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0804900",487,844,5175.879,2288.073,661.254,3692.541,893,1553.002,506,367,974.332,1755.015,222,650.208,129,5433.873,1228,480,595,1233,2049.199,578,480,429,560,290,283,690,1196,358,723,1665.974
"PF3D7_0805000",0,0,0,0,2,4,0,0,0,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"PF3D7_0805100",4,4,17,0,103,11,3,1,4,1,82,2,0,27,0,60,5,18,1,15,27.006,0,3,0,0,0,8,0,2,8,2,3
"PF3D7_0805200",166,398,2,217,1146,1379,343.033,317,371,155,1878.003,279,133,695,18,5,1029.983,517.001,436,720,1741.964,10,293,3,180,13,275,16,181,566,0,0
"PF3D7_0805300",0,3,1,0,6,1,0,0,0,0,7,1,0,1,0,9,1,3,0,8,5,0,0,0,1,4,0,1,0,0,1,1
"PF3D7_0805400",110,122,1034.509,279,136,812.001,280,142,66,63,286,294,26,96,23,734,335,97,161,428.055,726.175,152,110,19,114,19,55,25,123,221,30,67
"PF3D7_0805500",293.003,470,419.101,477.013,1773.243,1609.032,519.007,148,486.027,466,1704.017,1101.002,106.348,715,38,1960.107,843.807,676.755,382,2596.145,2539.038,61,586.008,30,205,158,295.173,268,145,1109.113,381.015,551.26
"PF3D7_0805600",830,2311.65,7333.472,2256,4596,4374.533,2213,2106,1218,856,5466.003,2492,507,1672.244,237,6341.06,4241,1983,1179,3759.816,6656.626,744,823,433,545,521,1171,907,2153,3193,898,1679.025
"PF3D7_0805700",0,1,1,2,1,4,4,3.069,0,0,0,0,0,0,0,4.006,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"PF3D7_0805800",0,2,1,0,2,0,1,0,1,0,1,0,0,0,1,0,1,3,1,10,2,0,2,0,0,0,1,0,0,1,0,0
"PF3D7_0805900",175,199,210.001,168,154,1022.037,199,85,52,82,153,457.033,19,72,2,135.065,158,148,63.771,298.998,1235.069,54,146,1,99,17,60,11,28.479,54,8,24.192
"PF3D7_0806000",100.157,314.231,3319.417,956.665,200,1049.834,319.334,157.422,133.214,98.127,342.032,372.497,6,82.071,94.425,3887.84,45.169,94.141,205.339,1359.491,332.984,300.369,192.109,77.001,80,190.135,40,106,311.904,78.062,325.827,782.759
"PF3D7_0806100",22,43,696.506,389,24,132,69,69,8,13,31,57,3,6,30,1332.43,12,9,47,310,3,182,24,36,11,88,5,62,118,22,107,296
"PF3D7_0806200",0,0,3,1,5,5,0,0,1,0,2,3,0,0,0,5,0,0,2,16,4,0,0,0,0,0,0,1,0,1,0,1
"PF3D7_0806300",29,16.113,43,10,430,37,27,18,22,9,191,5,6,106,2,37,69,59,18,194,117,5,38,1,7,1,16,2,2,90,2,2
"PF3D7_0806400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PF3D7_0806500",1363,2732.763,7947.594,3575,8882.071,8037.232,2348,2041,1684,1079,3665.142,4505.788,550,2400,163,6974.238,2372,2067,1948,3680.023,9820.946,737,1778,520,1304,451,1079,534,1304,1475,1300,2627
"PF3D7_0806600",478,464,1545.892,925,3542.369,4151.562,675.534,302,1096,606,2056.432,1473,224,1013,25,2234.001,1273.115,818,553,2595.196,7135.432,42,536.004,24,604.023,122,535,243,176,1179.342,229,367.009
"PF3D7_0806700",1417,723,3290.026,1466,2989,6900.377,1631,390,1077,1003,3522.001,2486,183,1190.007,92.992,4411.152,2101,787,1219,4093.007,8014.31,149,1488.006,57,821.999,331,462,234,211,1302.133,334,1101.077
"PF3D7_0806800",7625,16078,45292.696,23214.069,40239.404,41572.074,13949.474,15976.83,15381,10257.991,36814.972,25041.57,5116,18058.043,1308,59314.431,42550.362,24419.008,12404.151,31450.659,57240.102,6410,11441,3123,6898.99,4548.364,9442,8774.002,14320.999,20128.842,7832.348,22626.836
"PF3D7_0806900",65,93,1710.014,116,296,482.059,82,190,89,26,199,66,4,93,32,1826.165,37,80,39,348,387.004,401,87,72,22,54,26,51,200,54,28,58
"PF3D7_0807000",135,494,5381.338,824,582,2304.058,467,610.002,409,133,745,981.498,22,222,79,2962.335,116,674,470,930,2237.977,211,229,262,89,191,117,385,489,150,388,1733
"PF3D7_0807100",152,74.608,1405.738,369.076,1718.317,1828.811,460.03,76.006,311.131,57.741,1159.1,494.572,6,354.855,46,1329.988,286.9,153.933,165,407.919,548.152,146.001,181.992,12,144.063,83.001,81.002,61.001,101,465.165,120.82,311.002
"PF3D7_0807200",72,151,2378.157,378,68,566,136,298.219,54,67,120,188,16,35,25.108,894.84,54,69.008,156.993,168.001,191,151,73,83.008,80,75,38,105,248.154,97,153,641.969
"PF3D7_0807300",335,1438.765,6992.786,2266.005,1988.115,5212.013,1087.695,1715.004,1225.553,436,2601.469,2634.866,259,1372,115.892,8099.409,1780.145,1042.992,1140,1576.999,6540.303,692.345,538,462.992,332,328.003,608.996,478,1110,1284,891,2350.097
"PF3D7_0807400",13,1,130,35,33,11,3,15,14,4,19,10,4,12,1,91.027,20,17,2,11,8,13,4,7,0,6,5,2,11,48,2,15
"PF3D7_0807500",960,2495,14320.788,2882,2667.039,8013.876,1740.483,2806,1596.556,875,3703.009,3007.555,313,1660,245,13478.075,1841,2624,1559,3190.969,6991.73,931,1630,771,345,911,722,736,1643,994,1374,4186
"PF3D7_0807600",2651,1664.991,27837.68,7688.17,16766.314,21976.654,5413.116,1717.001,5492.301,2896,21384.493,6634.121,549.496,7696.122,568,45807.824,9307.3,3363.991,3158.904,20381.922,29898.255,2537.028,4172.638,461,2056.142,3002,2050,1394.318,2065.12,7418.471,2341.18,6174.301
"PF3D7_0807700",555,181.118,4516.567,391.476,1888.023,822.002,415,206,663,209.014,1982.262,464.421,51,648.143,79,2712.133,674.339,507,343.917,2622.025,1566.858,404,761,66,104,267,239.53,318.885,248.332,807.076,213.815,311.263
"PF3D7_0807800",1077,1556,15023.718,3078,2250,7677.942,1817,1534.857,1265,893,2510,3294.348,240,1293,179,17980.361,1708,778,1123,4149.761,8107.931,1260,1381.01,939.689,782,641,591.997,799,1467,730,1061.207,3406
