"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_1453900",77.111618,31.253226,35.491051,19.798883,42.709663,62.234912,57.000804,7.04825,42.059038,55.329676,65.63098,40.068681,25.460541,53.777841,31.108722,47.459617,44.350517,22.290307,23.926183,137.549045,85.109275,22.938195,56.198515,7.736874,52.107658,37.533965,40.600067,15.355529,17.644848,69.495333,30.005063,14.936529
"PF3D7_1454000",58.270526,65.699027,66.174046,49.130951,73.597983,75.286989,50.914478,50.997801,64.601768,79.552325,83.536772,70.30893,46.48042,83.260312,71.324512,86.438472,59.762431,55.007348,47.513608,138.450208,74.8522,84.733108,73.425817,50.050233,81.917986,55.639793,71.295858,36.937405,47.376881,68.94896,59.592099,54.287167
"PF3D7_1454100",4.880961,0.776042,1.809653,0.312933,3.123397,1.095681,0,0.633068,3.405277,2.153426,5.531302,0.392554,0,0,5.76137,3.55279,1.812193,4.88789,0,13.883158,2.898425,0,0,0,0,0,1.383197,0.995797,0,3.396307,0,1.08699
"PF3D7_1454200",23.471535,13.552149,9.829254,10.560388,14.254268,18.091675,15.664491,3.776783,16.631905,23.418987,17.419516,10.162962,10.788328,14.860752,15.021249,18.251503,13.213756,8.649432,7.621601,25.675562,20.710756,12.561244,14.79697,8.169014,22.645532,13.48649,15.635961,6.527693,6.511992,28.510418,7.086141,6.44818
"PF3D7_1454300",5.773726,0.580666,2.316862,0.763162,17.490209,1.349519,0.938035,0.361216,2.738219,2.061002,6.771304,0.626663,3.839687,6.373185,6.131574,1.791438,3.14845,2.126518,1.45015,10.755252,1.233433,0.196217,1.174326,0.136477,1.398547,0.937305,3.611749,1.134143,0.847267,11.499139,0.388754,0.095752
"PF3D7_1454400",212.099593,112.679883,161.437586,175.58671,133.008274,177.230961,200.947449,141.59317,124.719263,101.534371,150.760184,189.752316,145.20291,141.385143,179.826474,175.751564,103.770904,114.480579,160.662044,149.995814,182.173325,264.651452,166.667901,171.934383,151.843635,115.44145,130.993765,110.073572,130.641124,179.720472,162.203124,132.364508
"PF3D7_1454500",243.533568,246.396893,150.317651,149.679927,197.16516,420.309134,268.981826,240.735601,193.005173,189.310689,263.289525,197.00328,187.549311,247.464208,155.161617,158.292094,214.461292,189.846927,191.667546,204.583822,404.949582,118.435434,124.807026,144.748433,245.096464,67.684858,324.680699,66.737727,136.928012,162.193747,158.0881,92.104762
"PF3D7_1454600",15.481651,29.581121,170.44374,39.803857,21.602363,31.260186,15.372092,137.142502,41.539374,11.023172,29.438644,27.409052,18.576781,19.523396,100.051066,222.328134,7.573493,34.469063,41.519693,35.264266,23.456691,92.02998,17.65476,158.059302,25.454698,94.889497,15.658963,147.027263,128.269206,5.581644,189.746682,116.371548
"PF3D7_1454700",203.179259,175.049859,160.354116,94.633581,99.972709,201.722313,175.222348,121.92721,142.090383,83.063697,94.565716,174.716707,65.781382,78.779082,128.835482,240.192111,37.737403,89.707705,161.985253,137.975774,188.976041,120.961848,173.688415,168.64676,167.92759,192.626751,97.959685,132.592688,81.214885,85.966573,181.575792,253.352105
"PF3D7_1454800",10.777036,5.686132,4.385622,2.310077,16.450673,3.499032,1.513687,7.467017,16.119322,4.041933,12.813672,1.911117,5.519323,8.402296,2.45472,5.532376,3.376176,13.691933,4.259049,27.589807,13.365524,2.291716,9.118521,2.149917,9.290255,1.638173,14.172759,14.489889,5.395414,12.444119,2.407983,1.920546
